2B,3B,AB,AVG,BB,GDP,G,HBP,HR,H,IBB,MH,레코드 수,OBP,OPS,PA,PH-BA,RBI,RISP,R,SAC,SF,SLG,SO,TB,Unnamed: 0,X,Xaxis,Y,Yaxis,uBB,wOBA,레코드 수 1,레코드 수 2,레코드 수,선수명 (그룹),선수명,영문포지션,팀명,포지션
39,2,453,0.362,47,9,117,1,20,164,6,48,1,0.415,1.004,511,0,101,0.419,95,0,10,0.589,61,267,0,512,104.4230769,512,306.3076923,41,0.242419802,1,1,1,Others,김현수,LF,LG,left fielder
29,1,439,0.358,45,13,133,13,23,157,6,48,1,0.427,1.012,503,0.333,77,0.317,84,0,6,0.585,40,257,2,,255.5879121,,64.64285714,39,0.244899396,1,1,1,Others,양의지,C,두산,catcher
34,2,459,0.355,42,5,109,8,6,163,3,46,1,0.412,0.889,520,0,57,0.37,81,3,8,0.477,58,219,3,,389.8461538,,306.3076923,39,0.177036965,1,1,1,Others,이정후,RF,넥센,right fielder
20,0,400,0.345,68,9,113,17,43,138,10,46,1,0.457,1.175,488,0.333,112,0.312,88,0,3,0.718,114,287,4,,370,,187.9615,58,0.347251046,1,1,1,Others,박병호,1B,넥센,first baseman
38,1,494,0.342,36,13,130,10,23,169,1,53,1,0.392,0.955,549,0.333,118,0.403,88,0,9,0.563,57,278,5,,322.2197802,,249.6208,35,0.233755474,1,1,1,Others,안치홍,2B,KIA,second baseman
36,2,556,0.342,48,12,144,7,33,190,1,59,1,0.4,0.992,614,0.3,90,0.379,118,1,2,0.592,82,329,6,,104.4230769,,306.3076923,47,0.25144281,1,1,1,Others,전준우,LF,롯데,left fielder
23,0,429,0.34,23,15,121,7,18,146,5,42,1,0.375,0.895,471,0.333,93,0.361,71,2,10,0.52,57,223,7,,359.0164835,,187.9615,18,0.179842672,1,1,1,올스타 그룹,김주찬,1B,KIA,first baseman
34,1,528,0.339,66,17,143,7,25,179,7,47,1,0.414,0.963,609,1,103,0.342,92,0,8,0.549,87,290,8,,104.4230769,,306.3076923,59,0.235222591,1,1,1,Others,최형우,LF,KIA,left fielder
21,1,428,0.339,47,9,121,2,20,145,3,46,1,0.406,0.939,480,0.1,83,0.385,59,2,1,0.533,53,228,9,,389.8461538,,306.3076923,44,0.212627368,1,1,1,Others,유한준,RF,KT,right fielder
36,1,527,0.334,59,6,139,9,44,176,4,51,1,0.405,1.062,602,1,133,0.295,104,0,7,0.657,134,346,10,,104.4230769,,306.3076923,55,0.304180602,1,1,1,Others,김재환,LF,두산,left fielder
39,6,519,0.333,51,5,138,10,26,173,1,50,1,0.397,0.979,590,0.25,108,0.368,87,0,10,0.582,89,302,11,,400,,414,50,0.261220713,1,1,1,Others,최주환,DH,두산,Designated Hitter
30,0,543,0.333,43,18,144,14,37,181,7,55,1,0.394,0.987,604,0.444,125,0.307,81,0,4,0.593,75,322,12,,400,,414,36,0.249313233,1,1,1,Others,이대호,DH,롯데,Designated Hitter
26,5,478,0.333,43,4,116,5,20,159,2,50,1,0.392,0.925,529,0,84,0.378,100,1,2,0.533,110,255,13,,389.8461538,,306.3076923,41,0.216250951,1,1,1,올스타 그룹,구자욱,RF,삼성,right fielder
36,2,529,0.331,35,12,139,9,25,175,1,54,1,0.379,0.927,578,0,119,0.362,78,0,5,0.548,97,290,14,,389.8461538,,306.3076923,34,0.225095321,1,1,1,Others,채은성,RF,LG,right fielder
32,4,506,0.33,65,17,137,18,33,167,0,52,1,0.419,1.024,597,0,125,0.366,97,0,8,0.605,107,306,15,,359.0164835,,187.9615,65,0.288812395,1,1,1,Others,러프,1B,삼성,first baseman
24,0,407,0.329,43,13,130,12,17,134,0,40,1,0.405,0.919,471,0.4,57,0.308,63,4,5,0.514,65,209,16,,255.5879121,,64.64285714,43,0.22169379,1,1,1,Others,이재원,C,SK,catcher
32,5,553,0.329,68,15,141,2,26,182,1,55,1,0.404,0.95,625,0.333,93,0.36,109,1,1,0.546,99,302,17,,389.8461538,,306.3076923,67,0.239868379,1,1,1,Others,손아섭,RF,롯데,right fielder
24,6,488,0.326,28,14,125,10,12,159,1,47,1,0.373,0.846,529,0.5,84,0.373,79,1,2,0.473,65,231,18,,255.5879121,,378.9065904,27,0.171345351,1,1,1,Others,박건우,CF,두산,center fielder
30,5,516,0.324,32,15,133,16,10,167,0,48,1,0.376,0.835,577,0.25,79,0.35,85,5,8,0.459,52,237,19,,152.1593407,,187.9615,32,0.174683566,1,1,1,Others,허경민,3B,두산,third baseman
22,5,411,0.324,32,4,115,10,5,133,3,34,1,0.383,0.821,460,0.667,33,0.362,68,3,4,0.438,51,180,20,,322.2197802,,249.6208,29,0.161162996,1,1,1,Others,박민우,2B,NC,second baseman
36,3,556,0.318,44,11,144,15,23,177,4,53,1,0.381,0.899,620,0,91,0.319,110,0,5,0.518,131,288,21,,389.8461538,,306.3076923,40,0.220511364,1,1,1,Others,나성범,RF,NC,right fielder
21,0,443,0.318,35,10,118,8,17,141,3,45,1,0.374,0.855,494,0.25,66,0.283,74,2,6,0.481,68,213,22,,255.5879121,,378.9065904,32,0.182558282,1,1,1,Others,민병헌,CF,롯데,center fielder
19,0,528,0.316,72,7,141,10,43,167,0,48,1,0.404,1.001,616,0,107,0.297,102,0,6,0.597,123,315,23,,359.0164835,,187.9615,72,0.274917208,1,1,1,Others,로맥,1B,SK,first baseman
27,0,437,0.316,31,6,118,12,13,138,0,37,1,0.377,0.844,485,0.364,42,0.292,83,5,0,0.467,82,204,24,,255.5879121,,378.9065904,31,0.189120833,1,1,1,Others,이형종,CF,LG,center fielder
24,1,473,0.313,41,13,132,2,15,148,0,35,1,0.369,0.832,521,0,81,0.338,78,3,2,0.463,119,219,25,,322.2197802,,249.6208,41,0.178389961,1,1,1,Others,오재원,2B,두산,second baseman
21,8,515,0.313,48,3,135,13,8,161,0,50,1,0.383,0.814,588,0.667,53,0.316,93,9,3,0.431,86,222,27,,104.4230769,,306.3076923,48,0.169531952,1,1,1,Others,노수광,LF,SK,left fielder
20,0,402,0.311,52,12,131,4,16,125,1,32,1,0.39,0.87,467,0.5,75,0.35,78,3,6,0.48,77,193,28,,187.9615385,,249.6208,51,0.207768898,1,1,1,Others,김재호,SS,두산,short stop
25,3,513,0.31,63,9,131,10,20,159,3,40,1,0.395,0.882,590,0,70,0.29,106,3,1,0.487,103,250,29,,255.5879121,,378.9065904,60,0.215828767,1,1,1,Others,버나디나,CF,KIA,center fielder
47,2,529,0.306,51,5,142,5,30,162,10,43,1,0.369,0.942,590,0.5,110,0.335,85,0,5,0.573,93,303,30,,389.8461538,,306.3076923,41,0.268872414,1,1,1,Others,호잉,RF,한화,right fielder
30,1,564,0.305,71,10,144,7,43,172,4,50,1,0.388,0.978,645,0,114,0.322,114,1,2,0.59,142,333,31,,255.5879121,,378.9065904,67,0.27991875,1,1,1,올스타 그룹,로하스,CF,KT,center fielder
38,1,524,0.303,47,21,134,5,15,159,0,48,1,0.362,0.828,583,0.667,76,0.285,89,0,7,0.466,107,244,32,,400,,414,47,0.199512864,1,1,1,올스타 그룹,박용택,DH,LG,Designated Hitter
28,6,447,0.302,40,5,120,3,4,135,3,41,1,0.363,0.781,502,0,42,0.246,88,11,1,0.418,64,187,34,,104.4230769,,306.3076923,37,0.165407787,1,1,1,Others,이명기,LF,KIA,left fielder
30,1,479,0.301,52,10,128,7,20,144,1,39,1,0.374,0.867,543,0,93,0.302,74,0,5,0.493,103,236,35,,152.1593407,,187.9615,51,0.222800738,1,1,1,Others,이원석,3B,삼성,third baseman
26,2,513,0.3,54,13,141,10,11,154,1,46,1,0.375,0.798,586,0,71,0.319,77,5,4,0.423,70,217,36,,104.4230769,,306.3076923,53,0.176463793,1,1,1,Others,김헌곤,LF,삼성,left fielder
30,10,576,0.299,56,9,144,3,9,172,0,53,1,0.36,0.792,649,0.4,68,0.339,114,8,6,0.432,99,249,37,,255.5879121,,378.9065904,56,0.176324493,1,1,1,Others,박해민,CF,삼성,center fielder
24,0,434,0.297,18,13,113,4,18,129,0,36,1,0.328,0.805,460,0,79,0.243,63,0,4,0.477,93,207,38,,152.1593407,,187.9615,18,0.179430435,1,1,1,Others,송광민,3B,한화,third baseman
33,0,425,0.296,28,21,132,9,19,126,1,37,1,0.352,0.86,465,0.214,66,0.282,53,2,1,0.508,80,216,39,,255.5879121,,64.64285714,27,0.22887013,1,1,1,Others,유강남,C,LG,catcher
41,3,530,0.296,49,5,142,4,25,157,1,48,1,0.358,0.884,588,0.5,88,0.252,76,2,3,0.526,120,279,40,,152.1593407,,187.9615,48,0.245849573,1,1,1,Others,황재균,3B,KT,third baseman
21,1,485,0.295,35,9,131,5,34,143,3,34,1,0.347,0.9,528,0.6,102,0.283,76,1,2,0.553,143,268,41,,359.0164835,,187.9615,32,0.236038168,1,1,1,Others,이성열,1B,한화,first baseman
17,2,424,0.295,48,10,127,9,4,125,1,33,1,0.374,0.747,492,0.25,49,0.304,73,6,5,0.373,42,158,42,,187.9615385,,249.6208,47,0.147962887,1,1,1,Others,김선빈,SS,KIA,short stop
28,1,425,0.294,33,12,139,11,11,125,2,34,1,0.357,0.799,479,0.5,71,0.3,55,5,5,0.442,95,188,44,,152.1593407,,187.9615,31,0.188114407,1,1,1,Others,신본기,3B,롯데,third baseman
14,1,491,0.293,59,8,134,12,1,144,0,44,1,0.379,0.711,575,0,36,0.327,82,8,5,0.332,62,163,45,,255.5879121,,378.9065904,59,0.124659612,1,1,1,Others,이용규,CF,한화,center fielder
29,3,423,0.293,22,6,134,0,13,124,1,31,1,0.327,0.795,447,0.2,60,0.303,76,0,2,0.468,119,198,46,,255.5879121,,378.9065904,21,0.184970852,1,1,1,Others,임병욱,CF,넥센,center fielder
32,2,527,0.29,52,4,138,3,29,153,0,44,1,0.356,0.88,585,0.3,84,0.308,108,0,3,0.524,124,276,47,,104.4230769,,306.3076923,52,0.241350427,1,1,1,올스타 그룹,강백호,LF,KT,left fielder
27,4,511,0.288,54,16,129,5,20,147,2,43,1,0.358,0.832,576,0.5,84,0.239,95,1,5,0.474,81,242,48,,226,,235,52,0.211191972,1,1,1,Others,김하성,SS,넥센,short stop
31,0,486,0.284,52,10,136,16,41,138,3,40,1,0.367,0.968,562,0.444,115,0.286,97,0,8,0.601,124,292,49,,389.8461538,,306.3076923,49,0.301889088,1,1,1,Others,한동민,RF,SK,right fielder
21,4,420,0.283,33,8,125,2,11,119,0,35,1,0.337,0.768,458,0.25,42,0.272,52,1,2,0.431,92,181,50,,187.9615385,,249.6208,33,0.174297593,1,1,1,Others,노진혁,SS,NC,short stop
24,0,413,0.283,40,6,128,6,10,117,3,24,1,0.351,0.765,465,0.471,45,0.231,46,1,5,0.414,80,171,52,,152.1593407,,187.9615,37,0.174939262,1,1,1,올스타 그룹,김민성,3B,넥센,third baseman
19,2,401,0.279,60,3,123,6,27,112,2,29,1,0.373,0.912,477,0,80,0.215,69,0,10,0.539,121,216,53,,359.0164835,,187.9615,58,0.267463158,1,1,1,Others,오재일,1B,두산,first baseman
26,2,533,0.278,59,6,144,7,11,148,3,40,1,0.354,0.75,617,0,71,0.357,93,12,6,0.396,146,211,54,,187.9615385,,249.6208,56,0.169860465,1,1,1,Others,오지환,SS,LG,short stop
19,1,415,0.277,29,19,135,9,4,115,0,30,1,0.336,0.693,462,0,55,0.333,51,6,3,0.357,42,148,55,,322.2197802,,249.6208,29,0.132116228,1,1,1,올스타 그룹,김성현,2B,SK,second baseman
22,0,460,0.276,40,17,132,4,19,127,2,28,1,0.337,0.785,509,0.6,60,0.22,58,2,3,0.448,69,206,56,,359.0164835,,187.9615,38,0.18990495,1,1,1,Others,윤석민,1B,KT,first baseman
15,6,430,0.27,33,6,136,5,5,116,1,28,1,0.328,0.695,473,0,45,0.333,79,3,2,0.367,119,158,57,,322.2197802,,249.6208,32,0.137366738,1,1,1,Others,김혜성,2B,넥센,second baseman
14,0,427,0.269,29,11,129,14,22,115,5,32,1,0.331,0.788,477,0.273,71,0.225,46,0,7,0.457,96,195,58,,255.5879121,,64.64285714,24,0.189758475,1,1,1,올스타 그룹,강민호,C,삼성,catcher
34,5,462,0.268,33,8,133,9,23,124,2,34,1,0.329,0.842,505,0,64,0.23,80,1,0,0.513,133,237,59,,311,,245,31,0.250908367,1,1,1,Others,번즈,2B,롯데,second baseman
27,0,483,0.263,24,9,140,6,22,127,0,32,1,0.303,0.758,519,0.143,82,0.31,53,1,5,0.455,81,220,60,,152.1593407,,187.9615,24,0.193303089,1,1,1,Others,양석환,3B,LG,third baseman
13,1,453,0.263,27,11,122,8,10,119,0,32,1,0.314,0.676,499,0,50,0.2,63,8,3,0.362,91,164,61,,187.9615385,,249.6208,27,0.128201629,1,1,1,올스타 그룹,김상수,SS,삼성,short stop
21,0,458,0.262,58,16,135,9,25,120,2,28,1,0.354,0.826,528,0.4,74,0.288,65,0,3,0.472,129,216,63,,322.2197802,,249.6208,56,0.233918251,1,1,1,Others,박경수,2B,KT,second baseman
35,0,501,0.257,55,14,142,12,26,129,2,29,1,0.343,0.826,571,0,97,0.303,75,0,3,0.483,144,242,64,,359.0164835,,187.9615,53,0.250949033,1,1,1,Others,스크럭스,1B,NC,first baseman
20,3,484,0.254,28,7,141,4,9,123,0,31,1,0.3,0.664,517,1,52,0.267,67,1,0,0.364,130,176,65,,187.9615385,,249.6208,28,0.13697093,1,1,1,Others,하주석,SS,한화,short stop
15,0,421,0.252,17,13,124,4,27,106,0,26,1,0.285,0.765,446,0.286,76,0.33,58,1,3,0.48,108,202,66,,104.4230769,,306.3076923,17,0.200125843,1,1,1,Others,김동엽,LF,SK,left fielder
16,1,406,0.244,58,10,115,23,35,99,2,23,1,0.368,0.915,489,0,74,0.235,95,0,2,0.547,129,222,67,,152.1593407,,187.9615,56,0.306030801,1,1,1,Others,최정,3B,SK,third baseman
